"host_id","host_yrs_exp","host_is_superhost.f","host_is_superhost.t","neighbourhood","neighbourhood_cleansed","latitude","longitude","property_type","room_entire","room_hotel","room_private","room_shared","accommodates","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","n_bathrooms","bathroom_private","bathroom_shared","log_price","amenity_qty","fNBHD","entire_prop","has_wifi","has_parking","has_heating","has_ac","has_tv","has_fridge"
615,13,0,1,"Denver, Colorado, United States","Washington Virginia Vale",39.69753,-104.92588,"Entire guesthouse",1,0,0,0,2,1,0,"[""Patio or balcony"", ""Shampoo"", ""BBQ grill"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""TV"", ""Security cameras on property"", ""Essentials"", ""Backyard"", ""Luggage dropoff allowed"", ""Kitchen"", ""Coffee maker"", ""Free parking on premises"", ""Fire extinguisher"", ""Dedicated workspace"", ""Free street parking"", ""Refrigerator"", ""Keypad"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Heating"", ""Wifi"", ""Long term stays allowed""]",99,1,400,1,1,1125,1125,1,1125,4,29,50,325,85,31,1,"2016-11-14","2021-07-05",4.8,4.96,4.86,4.96,4.93,4.83,4.76,"f",1.49,1,1,0,4.59511985013459,1,"Washington Virginia Vale",2,1,1,1,1,1,1
666,13,0,1,"Denver, Colorado, United States","Highland",39.76703,-105.00256,"Entire guesthouse",1,0,0,0,3,2,2,"[""TV"", ""Fire extinguisher"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Shared hot tub"", ""Iron"", ""Free street parking"", ""Coffee maker"", ""Full kitchen"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Bathroom essentials"", ""Bathtub"", ""Bedroom comforts"", ""Hair dryer"", ""Backyard"", ""Room-darkening shades""]",135,30,90,30,30,90,90,30,90,1,19,49,138,159,38,7,"2020-02-09","2021-07-17",4.99,4.99,4.96,5,5,5,4.91,"f",8.98,1,1,0,4.90527477843843,1,"Highland",2,1,1,1,1,1,0
783,13,1,0,"Denver, Colorado, United States","Five Points",39.76551,-104.97902,"Entire loft",1,0,0,0,3,1,1,"[""Shampoo"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dryer"", ""Smoke alarm"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Free parking on premises"", ""Breakfast"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Hair dryer"", ""TV with standard cable"", ""Indoor fireplace"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit"", ""Cable TV""]",179,185,365,185,185,365,365,185,365,0,0,0,202,87,0,0,"2011-04-23","2016-04-26",4.85,4.78,4.81,4.95,4.96,4.65,4.71,"f",0.7,1.5,1,0,5.18738580584075,1,"Five Points",2,1,1,1,1,1,0
933,13,0,1,"Denver, Colorado, United States","North Park Hill",39.75361,-104.91237,"Private room in residential home",0,0,1,0,3,1,1,"[""Oven"", ""Patio or balcony"", ""Shampoo"", ""Dishwasher"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Free parking on premises"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Indoor fireplace"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit""]",55,2,300,2,28,300,300,3.7,300,1,21,39,128,624,23,7,"2014-07-03","2021-07-14",4.84,4.76,4.56,4.92,4.95,4.74,4.84,"f",7.26,1,0,1,4.00733318523247,1,"North Park Hill",1,1,1,1,0,0,1
933,13,0,1,"","North Park Hill",39.75438,-104.91156,"Private room in residential home",0,0,1,0,2,1,1,"[""Oven"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Lock on bedroom door"", ""Smoke alarm"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Free parking on premises"", ""Fire extinguisher"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Indoor fireplace"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer""]",52,1,365,1,28,365,365,2.8,365,0,16,16,103,156,2,0,"2010-05-12","2020-11-08",4.85,4.75,4.55,4.94,4.94,4.8,4.85,"f",1.14,1,0,1,3.95124371858143,1,"North Park Hill",1,1,1,1,1,0,1
990,13,1,0,"Denver, Colorado, United States","North Capitol Hill",39.74503,-104.97756,"Private room in residential home",0,0,1,0,2,1,2,"[""Extra pillows and blankets"", ""Oven"", ""Patio or balcony"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Mini fridge"", ""Children\u2019s books and toys"", ""Luggage dropoff allowed"", ""Hangers"", ""Kitchen"", ""High chair"", ""Coffee maker"", ""Baking sheet"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Hair dryer"", ""TV with standard cable"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Pack \u2019n Play/travel crib"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit"", ""Cable TV"", ""Children\u2019s dinnerware"", ""Piano""]",33,30,180,30,30,180,180,30,180,4,10,27,302,255,1,0,"2015-04-17","2019-11-09",4.77,4.77,4.81,4.86,4.92,4.87,4.83,"f",3.34,1,1,0,3.49650756146648,1,"North Capitol Hill",1,1,1,1,1,1,1
2150,13,0,1,"Denver, Colorado, United States","Baker",39.71981,-104.99649,"Entire guesthouse",1,0,0,0,2,1,1,"[""Extra pillows and blankets"", ""Oven"", ""Patio or balcony"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""TV"", ""Backyard"", ""Essentials"", ""Private entrance"", ""Luggage dropoff allowed"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Keypad"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""First aid kit""]",95,1,120,1,1,1125,1125,1,1125,0,7,19,168,60,12,0,"2017-01-24","2021-06-11",4.93,4.93,4.93,5,4.97,4.92,4.88,"f",1.1,1,1,0,4.55387689160054,1,"Baker",2,1,1,1,1,1,1
135298,11,0,1,"","West Highland",39.76179,-105.02845,"Entire guest suite",1,0,0,0,2,1,1,"[""Wine glasses"", ""Extra pillows and blankets"", ""Shampoo"", ""Carbon monoxide alarm"", ""Toaster"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Clothing storage: walk-in closet"", ""Shared fenced garden or backyard"", ""Bed linens"", ""Free driveway parking on premises \u2013 1 space"", ""Smoke alarm"", ""Room-darkening shades"", ""Essentials"", ""Freezer"", ""Private entrance"", ""Cleaning before checkout"", ""Luggage dropoff allowed"", ""Hangers"", ""Coffee maker"", ""Pour-over coffee"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Free street parking"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""LG refrigerator"", ""Portable fans"", ""Wifi"", ""Hot water kettle"", ""48\"" HDTV with standard cable, Roku"", ""Free washer \u2013 In building"", ""Long term stays allowed"", ""Dining table"", ""Cable TV"", ""Radiant heating""]",87,4,730,4,4,1125,1125,4,1125,5,11,33,308,90,19,0,"2018-10-27","2021-06-02",4.89,4.89,5,4.93,4.99,4.86,4.89,"t",2.7,1,1,0,4.46590811865458,1,"West Highland",2,1,1,1,0,1,1
666,13,0,1,"Denver, Colorado, United States","Highland",39.76588,-105.00545,"Entire cottage",1,0,0,0,1,1,1,"[""Extra pillows and blankets"", ""Oven"", ""Patio or balcony"", ""Shampoo"", ""BBQ grill"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""TV"", ""Backyard"", ""Essentials"", ""Private entrance"", ""Shower gel"", ""Luggage dropoff allowed"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Free parking on premises"", ""Fire extinguisher"", ""Dedicated workspace"", ""Single level home"", ""Iron"", ""Free street parking"", ""Refrigerator"", ""Keypad"", ""Hair dryer"", ""Microwave"", ""Cooking basics"", ""Hot tub"", ""Stove"", ""Portable fans"", ""Heating"", ""Wifi"", ""Long term stays allowed""]",113,29,90,29,29,90,90,29,90,0,11,11,11,624,6,0,"2015-11-21","2021-04-30",4.91,4.88,4.93,4.98,4.97,4.84,4.85,"f",9.04,1,1,0,4.72738781871234,1,"Highland",2,1,1,1,1,1,1
385864,10,0,1,"","Capitol Hill",39.73276,-104.98035,"Entire rental unit",1,0,0,0,3,1,2,"[""Extra pillows and blankets"", ""Crib"", ""Oven"", ""Patio or balcony"", ""Shampoo"", ""Dishwasher"", ""Air conditioning"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Dishes and silverware"", ""Dryer"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Backyard"", ""Room-darkening shades"", ""Essentials"", ""Luggage dropoff allowed"", ""Hangers"", ""Kitchen"", ""Coffee maker"", ""Fire extinguisher"", ""Dedicated workspace"", ""Iron"", ""Outlet covers"", ""Free street parking"", ""Refrigerator"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Lockbox"", ""Pack \u2019n Play/travel crib"", ""Heating"", ""Wifi"", ""Long term stays allowed"", ""Washer""]",126,5,1124,4,10,1124,1124,5.3,1124,4,33,63,75,117,1,1,"2018-10-14","2021-07-15",4.73,4.8,4.3,4.91,4.97,4.86,4.71,"f",3.46,1,1,0,4.83628190695148,1,"Capitol Hill",2,1,1,1,1,0,1
