host_yrs_exp,room_private,accommodates,bedrooms,number_of_reviews,n_bathrooms,bathroom_private,log_price,has_parking,has_heating,has_ac,has_tv
3,0,4,1,28,1.0,1,5.64544689764324,1,1,1,1
6,0,2,1,48,1.0,1,4.85981240436167,1,1,1,1
4,0,2,1,2,1.5,1,4.9416424226093,1,1,1,1
2,0,4,2,52,1.0,1,4.7957905455967405,1,1,0,0
4,0,6,3,53,1.0,1,4.4998096703302695,1,1,1,1
9,0,4,2,20,1.0,1,4.9904325867787405,0,1,1,1
5,0,2,1,61,1.0,1,5.2311086168545895,1,1,1,1
2,0,2,1,0,1.0,1,5.11198778835654,0,1,1,1
2,0,10,4,67,2.0,1,5.9162020626074305,1,1,1,1
5,0,2,1,0,1.0,1,4.6539603501575195,0,0,0,1
10,1,2,1,14,1.0,1,4.00733318523247,1,1,1,1
5,0,4,1,40,1.0,1,4.77068462446567,1,1,1,1
4,0,4,2,2,1.0,1,4.55387689160054,1,1,1,1
5,0,2,1,60,1.0,1,4.89034912822175,1,1,1,1
7,0,4,2,30,1.0,1,4.6634390941120705,1,1,0,1
1,1,2,1,18,1.0,0,5.18738580584075,1,1,1,1
7,0,2,1,20,1.0,1,4.07753744390572,1,1,1,1
9,1,1,1,36,1.0,1,3.63758615972639,1,1,1,1
5,0,4,1,214,2.0,1,4.23410650459726,1,1,1,1
4,0,6,2,10,3.0,1,6.033086221798801,1,1,1,1
4,0,2,1,69,1.0,1,4.69134788222914,1,1,1,1
7,0,4,2,13,3.0,1,5.50125821054473,1,1,1,1
6,0,10,5,216,2.0,1,5.2933048247244905,1,1,0,1
3,0,4,1,4,1.0,1,4.33073334028633,1,1,1,1
5,0,2,1,110,1.0,1,4.248495242049359,1,1,0,1
3,0,3,1,160,1.0,1,4.48863636973214,1,1,0,1
11,0,4,2,3,1.5,1,4.4998096703302695,1,1,1,1
1,1,2,1,0,1.0,0,5.220355825078321,1,1,1,0
8,1,16,4,0,4.0,1,6.498282149476429,1,1,1,1
9,0,5,2,7,1.0,1,5.77144112313002,1,1,1,1
3,0,4,2,0,2.0,1,4.55387689160054,1,1,1,1
5,0,3,2,77,1.0,1,4.71849887129509,1,1,1,1
6,0,5,2,3,3.0,1,4.70048036579242,1,1,1,1
3,0,5,2,54,1.0,1,4.85203026391962,1,1,0,1
5,0,4,1,64,1.0,1,4.89034912822175,1,1,0,0
0,0,4,1,4,1.5,1,5.00394630594546,1,1,1,1
8,0,4,2,59,2.0,1,5.04342511691925,1,1,1,1
8,0,16,5,53,3.0,1,5.52146091786225,1,1,1,1
0,0,9,2,2,2.0,1,5.2933048247244905,1,1,1,1
5,0,2,1,166,1.0,1,4.248495242049359,1,1,1,1
4,0,4,2,17,1.0,1,4.98360662170834,1,1,1,1
6,0,4,2,44,1.0,1,5.135798437050259,1,1,1,1
5,0,4,2,0,2.0,1,5.257495372027781,1,1,1,1
6,1,2,1,8,1.0,1,4.276666119016061,1,1,0,1
